Intern_ID,Task_Completion_Time_Hrs,Feedback_Rating,Attendance_Percentage,Performance
2179,1.55,2.7,18.44,0.69
2180,2.03,2.6,18.7,0.67
2181,9.53,2.4,90.24,0.4
2182,6.58,2.0,60.82,0.45
2183,1.37,3.8,67.78,0.84
2184,9.0,2.5,67.03,0.43
2185,10.49,3.8,25.75,0.54
2186,4.72,1.2,20.08,0.41
2187,3.23,3.1,41.96,0.69
2188,3.7,1.8,18.74,0.51
2189,6.52,2.8,24.98,0.55
2190,14.05,3.3,46.26,0.37
2191,11.46,4.9,68.43,0.65
2192,2.66,3.1,57.18,0.71
2193,9.57,3.3,47.07,0.51
2194,9.31,4.4,13.09,0.66
2195,13.08,1.3,18.0,0.15
2196,7.9,1.0,32.65,0.28
2197,4.69,2.3,48.78,0.54
2198,3.43,1.4,19.62,0.47
2199,15.83,3.6,24.96,0.35
2200,11.45,1.4,33.12,0.21
2201,12.47,1.5,74.27,0.19
2202,1.69,1.5,69.28,0.54
2203,2.44,4.6,29.01,0.9
2204,7.63,2.2,62.68,0.44
2205,15.63,3.7,91.95,0.37
2206,2.97,1.4,39.33,0.49
2207,4.89,1.5,28.89,0.44
2208,1.37,1.3,40.88,0.53
2209,7.49,2.5,21.64,0.48
2210,9.27,4.8,29.07,0.71
2211,11.24,3.4,84.25,0.47
2212,13.32,2.7,62.33,0.32
2213,2.1,2.3,49.63,0.63
2214,11.5,1.9,87.63,0.27
2215,1.99,2.9,29.62,0.71
2216,15.58,3.2,36.12,0.3
2217,13.74,3.7,41.22,0.43
2218,13.65,2.0,52.74,0.22
2219,15.45,5.0,97.39,0.53
2220,9.5,3.2,20.61,0.5
2221,12.71,3.7,40.73,0.46
2222,14.92,4.1,63.99,0.44
2223,11.34,4.3,57.86,0.58
2224,13.88,4.0,88.9,0.46
2225,16.14,3.7,86.02,0.35
2226,4.72,2.8,76.76,0.6
2227,1.12,4.1,22.34,0.88
2228,10.09,4.1,67.31,0.59
2229,10.64,4.1,49.23,0.58
2230,13.22,4.4,96.44,0.53
2231,13.81,4.5,49.05,0.52
2232,13.56,3.6,84.89,0.42
2233,5.26,5.0,76.8,0.86
2234,5.99,4.8,45.23,0.81
2235,6.62,4.5,61.58,0.76
2236,2.65,1.9,55.03,0.56
2237,9.9,4.2,47.15,0.61
2238,15.28,4.1,22.86,0.43
2239,12.7,2.8,74.17,0.35
2240,15.88,3.1,69.67,0.28
2241,9.99,3.6,34.9,0.54
2242,14.09,4.8,62.81,0.55
2243,16.21,1.0,86.13,0.01
2244,3.67,3.0,37.01,0.66
2245,14.37,3.1,20.12,0.33
2246,10.01,1.9,88.41,0.32
2247,10.86,2.7,43.27,0.39
2248,11.87,3.2,94.43,0.42
2249,8.49,2.3,47.67,0.42
2250,1.04,2.5,12.39,0.69
2251,9.54,4.9,59.35,0.71
2252,11.11,1.6,57.53,0.25
2253,12.48,4.6,0.29,0.58
2254,12.38,2.2,40.81,0.28
2255,4.76,2.9,95.82,0.62
2256,1.21,4.7,84.02,0.96
2257,6.55,4.4,71.39,0.75
2258,10.71,3.6,83.46,0.51
2259,4.68,1.2,67.0,0.41
2260,13.15,1.7,38.13,0.2
2261,5.97,1.1,24.02,0.35
2262,9.26,1.2,14.28,0.26
2263,13.36,3.8,39.71,0.45
2264,4.01,3.6,9.57,0.73
2265,1.45,3.2,14.52,0.76
2266,2.56,5.0,94.76,0.95
2267,1.22,1.8,59.37,0.59
2268,11.4,2.9,54.22,0.4
2269,6.81,1.5,4.77,0.38
2270,4.14,4.1,36.39,0.79
2271,12.31,2.3,20.25,0.3
2272,7.84,4.4,42.68,0.7
2273,16.3,3.6,42.74,0.33
2274,3.3,1.3,90.28,0.46
2275,14.29,4.3,4.33,0.48
2276,2.08,2.5,4.29,0.65
2277,11.87,4.4,79.84,0.57
2278,5.38,1.6,64.94,0.43
2279,5.68,2.3,70.26,0.51
2280,14.41,1.9,58.4,0.18
2281,9.72,3.5,96.35,0.53
2282,8.6,1.7,84.56,0.34
2283,4.46,1.6,86.92,0.46
2284,16.22,4.5,12.05,0.45
2285,7.2,2.3,69.66,0.46
2286,4.1,2.1,47.73,0.54
2287,6.05,3.6,69.03,0.66
2288,11.93,1.3,45.51,0.18
2289,3.8,4.6,76.99,0.86
2290,9.08,3.6,30.25,0.56
2291,3.72,1.7,63.47,0.5
2292,12.47,4.5,94.23,0.57
2293,16.41,2.3,19.37,0.17
2294,15.4,2.2,82.08,0.19
2295,7.23,3.3,5.95,0.59
2296,13.74,3.3,38.48,0.38
2297,9.78,4.6,91.62,0.67
2298,7.94,2.8,9.31,0.5
2299,6.46,2.1,57.34,0.46
2300,1.85,2.1,9.17,0.61
2301,11.25,2.0,30.15,0.29
2302,12.31,2.9,14.74,0.37
2303,1.54,1.9,79.18,0.6
2304,3.65,4.2,63.36,0.81
2305,3.51,3.8,16.87,0.77
2306,3.72,3.1,31.5,0.67
2307,6.92,2.4,34.21,0.48
2308,13.66,2.8,87.65,0.32
2309,12.6,1.1,69.32,0.14
2310,8.15,4.8,64.88,0.74
2311,7.4,1.8,4.79,0.39
2312,6.81,1.9,25.33,0.43
2313,8.89,4.0,16.52,0.62
2314,6.31,3.2,23.93,0.6
2315,11.31,1.1,90.57,0.18
2316,4.07,3.8,92.86,0.75
2317,14.14,4.7,36.7,0.54
2318,8.79,2.2,29.89,0.4
2319,13.2,1.1,44.19,0.12
2320,5.44,2.3,64.08,0.52
2321,3.57,3.7,10.61,0.75
2322,16.07,3.1,35.95,0.28
2323,5.83,3.2,82.4,0.62
2324,9.32,1.4,37.29,0.28
2325,15.04,3.6,62.49,0.37
2326,5.42,4.1,68.4,0.74
2327,5.39,3.7,13.39,0.7
2328,10.81,4.2,39.07,0.58
2329,7.41,2.4,25.84,0.47
2330,6.16,2.8,80.38,0.56
2331,8.32,3.7,78.76,0.6
2332,3.8,2.3,97.55,0.57
2333,3.9,1.8,33.4,0.51
2334,16.27,3.3,56.17,0.29
2335,7.47,3.3,64.04,0.58
2336,14.54,4.3,21.88,0.48
2337,12.91,2.3,78.4,0.28
2338,15.72,4.0,24.18,0.4
2339,14.16,1.6,92.0,0.15
2340,3.75,4.9,45.44,0.9
2341,6.62,2.7,42.77,0.53
2342,6.82,2.6,28.08,0.51
2343,4.83,1.9,82.54,0.49
2344,3.92,2.5,22.38,0.59
2345,3.73,3.4,35.32,0.71
2346,9.65,1.4,41.1,0.27
2347,7.87,3.7,40.44,0.62
2348,10.26,1.0,72.2,0.2
2349,7.93,3.9,70.36,0.64
2350,15.08,1.3,24.38,0.08
2351,8.76,3.6,88.31,0.57
2352,15.81,2.6,57.27,0.22
2353,11.48,1.1,64.48,0.17
2354,7.93,1.8,89.1,0.38
2355,6.96,2.8,59.84,0.53
2356,2.76,3.4,62.1,0.74
2357,16.3,3.8,70.38,0.36
2358,4.82,4.9,44.57,0.86
2359,9.78,2.3,54.38,0.38
2360,15.16,2.6,85.84,0.24
2361,8.39,2.7,56.75,0.47
2362,15.43,4.8,59.98,0.51
2363,3.23,2.6,11.05,0.63
2364,4.55,1.3,90.88,0.42
2365,15.61,2.4,18.35,0.2
2366,8.69,3.5,15.04,0.56
2367,3.81,2.2,43.54,0.56
2368,8.93,4.4,39.36,0.67
2369,4.18,1.5,39.13,0.46
2370,14.8,4.3,1.0,0.47
2371,10.2,3.6,99.29,0.53
2372,8.5,4.7,33.7,0.72
2373,15.62,2.3,26.46,0.19
2374,15.57,4.3,60.49,0.44
2375,12.51,2.8,16.39,0.35
2376,11.4,4.4,86.91,0.59
2377,11.56,2.5,51.6,0.35
2378,11.9,1.7,25.78,0.24
2379,5.63,4.0,35.73,0.73
2380,13.44,4.8,90.6,0.57
2381,11.56,3.4,35.41,0.46
2382,13.16,3.1,23.43,0.37
2383,8.81,4.8,36.8,0.72
2384,1.46,4.3,93.93,0.9
2385,6.1,4.8,20.74,0.81
2386,9.74,1.9,38.79,0.33
2387,7.05,4.4,81.73,0.73
2388,15.92,4.7,54.94,0.48
2389,8.72,2.7,61.52,0.46
2390,10.8,1.4,37.89,0.23
2391,10.67,2.7,77.49,0.4
2392,11.62,2.3,91.9,0.32
2393,12.54,3.6,23.92,0.45
2394,15.45,4.6,10.83,0.48
2395,9.11,1.5,85.75,0.3
2396,1.33,3.2,97.68,0.76
2397,5.98,2.9,56.09,0.58
2398,1.65,2.4,64.14,0.65
2399,3.16,4.2,64.96,0.83
2400,5.91,4.4,87.61,0.77
2401,4.64,4.0,52.48,0.76
2402,6.81,2.0,75.43,0.44
2403,10.64,4.5,73.1,0.63
2404,9.71,4.8,61.71,0.69
2405,4.56,3.0,63.22,0.64
2406,5.12,4.1,66.27,0.75
2407,9.96,3.1,51.12,0.47
2408,5.58,2.9,86.27,0.59
2409,10.86,3.7,36.91,0.52
2410,9.76,3.7,82.33,0.55
2411,9.61,2.2,83.04,0.37
2412,13.32,4.9,77.83,0.59
2413,9.78,4.9,56.02,0.7
2414,11.08,4.1,53.7,0.56
2415,9.58,5.0,73.14,0.72
2416,12.94,1.5,1.46,0.18
2417,7.11,2.8,42.66,0.53
2418,13.2,1.8,1.71,0.21
2419,7.74,1.7,83.46,0.37
2420,14.17,2.3,45.06,0.24
2421,14.32,3.0,5.49,0.32
2422,13.7,4.2,24.31,0.49
2423,1.58,2.8,18.25,0.71
2424,14.85,3.8,9.62,0.4
2425,12.14,4.5,19.81,0.58
2426,14.18,1.7,33.64,0.16
2427,13.8,2.6,84.49,0.29
2428,8.22,4.7,19.67,0.73
2429,11.11,2.7,11.4,0.39
2430,3.98,4.9,88.01,0.89
2431,14.4,4.0,45.0,0.44
2432,16.05,2.3,64.6,0.18
2433,13.81,1.4,5.71,0.14
2434,11.53,2.6,43.07,0.36
2435,16.28,4.6,91.71,0.46
2436,14.48,1.0,82.97,0.07
2437,14.21,2.0,38.39,0.2
2438,11.16,2.8,6.27,0.4
2439,7.64,3.3,79.72,0.57
2440,5.34,4.3,1.31,0.77
2441,8.98,1.1,66.96,0.26
2442,15.38,2.8,4.96,0.26
2443,13.84,3.6,27.41,0.41
2444,14.23,3.7,83.97,0.41
2445,4.5,2.6,81.19,0.59
2446,8.92,2.5,42.71,0.43
2447,14.87,2.9,83.16,0.29
2448,11.64,1.4,82.99,0.21
2449,3.67,3.3,34.9,0.7
2450,13.29,4.1,98.26,0.49
2451,14.55,1.3,86.32,0.1
2452,12.65,3.4,70.23,0.42
2453,5.03,5.0,72.72,0.87
2454,4.32,2.5,22.43,0.58
2455,12.28,1.5,79.92,0.2
2456,12.77,3.7,31.49,0.46
2457,8.65,3.0,20.73,0.5
2458,16.17,2.9,79.14,0.25
2459,1.67,2.3,1.46,0.64
2460,5.55,3.7,34.31,0.69
2461,13.1,1.9,67.1,0.22
2462,15.58,1.3,36.93,0.07
2463,11.38,3.6,86.85,0.49
2464,14.82,1.9,44.63,0.17
2465,11.85,1.2,42.77,0.18
2466,3.83,1.9,40.4,0.52
2467,15.2,4.0,79.03,0.42
2468,11.22,1.2,55.61,0.2
2469,10.55,2.0,34.54,0.32
2470,14.24,3.5,68.54,0.39
2471,6.32,2.6,7.44,0.53
2472,3.54,2.4,39.62,0.59
2473,16.26,2.8,20.49,0.23
2474,12.38,4.9,69.17,0.62
2475,5.29,3.1,72.33,0.62
2476,9.62,3.9,46.51,0.58
2477,6.92,1.2,42.98,0.33
2478,10.71,2.0,69.37,0.31
2479,7.19,3.0,42.95,0.55
2480,12.19,2.7,15.1,0.35
2481,6.45,1.8,81.35,0.42
2482,1.11,1.7,10.79,0.58
2483,14.68,4.8,15.99,0.53
2484,10.69,3.7,32.47,0.52
2485,10.96,3.3,83.73,0.47
2486,13.48,4.0,4.64,0.47
2487,12.23,4.3,52.74,0.55
2488,10.39,4.5,22.19,0.63
2489,10.34,1.1,8.46,0.21
2490,10.01,2.5,99.47,0.4
2491,9.74,3.6,74.96,0.54
2492,8.99,1.8,35.0,0.34
2493,2.85,1.4,2.28,0.49
2494,7.04,4.8,23.54,0.78
2495,16.16,2.7,61.69,0.22
2496,3.69,1.7,47.17,0.5
2497,13.26,3.7,95.53,0.44
2498,3.71,2.5,79.54,0.6
2499,15.41,3.4,9.8,0.34
2500,15.11,3.4,38.53,0.34
2501,1.54,2.9,9.95,0.72
2502,7.59,3.0,60.12,0.54
2503,2.16,3.7,68.12,0.8
2504,1.48,2.5,43.32,0.67
2505,12.16,1.8,28.44,0.24
2506,8.65,3.6,79.14,0.58
2507,8.66,3.9,67.22,0.62
2508,5.96,2.9,39.03,0.58
2509,1.67,2.6,65.43,0.68
2510,2.92,3.8,78.41,0.79
2511,12.36,1.9,95.62,0.25
2512,4.6,1.5,94.01,0.45
2513,8.58,1.3,21.81,0.29
2514,8.34,4.6,60.66,0.71
2515,3.88,1.6,84.98,0.48
2516,1.57,4.1,70.4,0.87
2517,8.49,3.4,34.2,0.56
2518,10.57,4.7,69.04,0.65
2519,16.29,3.2,66.69,0.28
2520,16.08,4.9,49.83,0.5
2521,13.47,2.8,87.39,0.32
2522,13.66,1.2,70.54,0.12
2523,8.03,2.6,42.01,0.47
2524,5.12,2.8,84.12,0.59
2525,1.73,2.8,67.03,0.7
2526,12.43,2.6,2.25,0.33
2527,8.36,2.2,74.14,0.41
2528,13.89,3.8,46.25,0.43
2529,5.2,3.4,71.83,0.66
2530,10.14,2.0,33.76,0.33
2531,8.42,1.1,23.91,0.27
2532,7.25,2.3,66.93,0.46
2533,3.13,1.4,1.72,0.48
2534,1.36,4.2,56.4,0.89
2535,10.79,4.4,95.7,0.61
2536,7.36,3.8,55.09,0.64
2537,2.82,1.4,71.58,0.49
2538,5.44,4.4,53.7,0.78
2539,15.27,3.4,68.91,0.34
2540,14.21,4.4,55.78,0.5
2541,14.37,4.1,53.76,0.46
2542,5.94,3.1,57.74,0.6
2543,13.14,2.3,1.48,0.27
2544,1.85,1.1,26.92,0.49
2545,10.44,3.1,38.03,0.46
2546,4.96,4.1,97.19,0.76
2547,13.71,1.4,18.62,0.14
2548,16.4,4.1,73.18,0.39
2549,5.68,4.1,7.72,0.74
2550,13.58,2.1,89.22,0.23
2551,1.7,2.7,41.21,0.69
2552,9.85,1.4,30.36,0.26
2553,4.22,2.2,10.95,0.55
2554,12.3,3.2,83.07,0.41
2555,7.65,4.7,21.34,0.75
2556,16.13,1.4,43.83,0.06
2557,13.23,4.3,31.57,0.52
2558,5.62,2.4,10.37,0.53
2559,6.72,1.4,24.85,0.37
2560,11.33,2.1,34.54,0.3
2561,3.01,2.5,22.95,0.62
2562,16.1,4.1,96.0,0.4
2563,7.18,4.1,9.31,0.69
2564,12.32,2.4,86.64,0.31
2565,4.29,3.3,26.49,0.68
2566,11.96,2.6,31.15,0.35
2567,5.03,1.5,11.69,0.43
2568,5.84,3.2,41.22,0.62
2569,8.6,4.2,95.0,0.65
2570,14.58,3.1,57.39,0.32
2571,6.75,2.8,65.87,0.54
2572,4.89,2.0,33.51,0.5
2573,7.6,4.2,84.4,0.69
2574,2.62,1.4,9.96,0.5
2575,12.36,3.2,97.27,0.41
2576,3.47,3.3,30.35,0.71
2577,6.62,4.6,44.39,0.77
2578,4.36,2.0,4.48,0.52
2579,5.15,4.7,63.61,0.83
2580,5.48,1.4,89.77,0.41
2581,12.72,4.6,44.34,0.57
2582,10.22,3.7,78.09,0.54
2583,12.15,4.3,52.8,0.55
2584,16.18,4.6,68.85,0.46
2585,15.45,2.0,70.4,0.16
2586,14.57,2.4,82.33,0.24
2587,12.38,1.0,84.62,0.13
2588,7.29,2.8,87.97,0.52
2589,11.84,3.9,9.19,0.51
2590,6.53,4.3,76.08,0.73
2591,8.95,5.0,32.84,0.74
2592,14.42,4.0,34.33,0.44
2593,9.63,1.8,0.66,0.32
2594,3.11,5.0,45.71,0.93
2595,5.73,3.9,36.07,0.71
2596,3.91,4.8,36.89,0.88
2597,3.97,2.1,93.69,0.54
2598,10.52,4.7,84.33,0.66
2599,11.56,1.5,13.17,0.22
2600,10.95,1.3,60.9,0.22
2601,2.34,2.2,4.08,0.61
2602,14.13,1.4,1.18,0.13
2603,11.78,1.7,92.71,0.24
2604,3.95,4.7,81.48,0.87
2605,10.11,3.3,76.13,0.49
2606,3.85,1.4,31.56,0.46
2607,8.06,4.4,40.42,0.7
2608,14.37,1.5,68.45,0.13
2609,1.79,2.6,72.29,0.67
2610,2.69,3.4,86.82,0.75
2611,13.29,2.7,82.3,0.32
2612,15.23,3.7,51.39,0.38
2613,14.55,1.6,21.98,0.14
2614,15.05,1.8,87.83,0.15
2615,2.45,3.7,22.96,0.79
2616,3.23,2.2,82.31,0.58
2617,9.29,3.9,70.81,0.6
2618,7.17,1.4,49.27,0.35
2619,3.07,5.0,33.8,0.93
2620,2.17,3.1,5.83,0.72
2621,5.6,1.7,21.14,0.44
2622,12.8,3.3,30.97,0.41
2623,2.46,3.7,30.1,0.79
2624,4.05,4.7,99.14,0.86
2625,15.38,2.6,14.83,0.24
2626,14.9,2.9,3.54,0.29
2627,13.86,1.5,56.93,0.15
2628,5.9,2.7,29.6,0.55
2629,10.42,1.5,61.38,0.26
2630,15.86,3.4,93.5,0.32
2631,8.8,1.7,76.72,0.34
2632,14.1,3.1,84.35,0.34
2633,2.49,4.6,12.86,0.9
2634,15.42,2.3,41.45,0.2
2635,3.32,4.9,70.85,0.91
2636,11.21,1.1,65.77,0.18
2637,1.01,4.9,45.89,0.99
2638,5.09,1.4,50.71,0.42
2639,1.84,3.5,88.62,0.79
2640,12.42,3.0,4.02,0.38
2641,7.76,2.4,90.25,0.46
2642,14.15,4.6,88.46,0.53
2643,8.59,4.9,9.24,0.74
2644,1.29,4.9,84.42,0.98
2645,10.97,1.1,97.47,0.19
2646,13.65,2.9,72.47,0.33
2647,12.15,4.5,7.19,0.58
2648,11.69,1.6,99.68,0.23
2649,12.13,2.0,43.57,0.27
2650,11.15,3.1,30.78,0.44
2651,2.14,4.6,62.12,0.91
2652,13.29,4.1,68.01,0.49
2653,15.05,3.5,96.93,0.36
2654,9.07,2.0,29.26,0.36
2655,1.5,4.9,47.98,0.97
2656,5.01,1.7,93.03,0.46
2657,11.91,1.3,95.22,0.19
2658,13.16,3.5,93.92,0.42
2659,12.82,3.9,59.32,0.48
2660,1.14,3.3,48.33,0.78
2661,14.78,4.3,96.69,0.47
2662,14.53,4.3,21.8,0.48
2663,1.91,2.9,20.18,0.71
2664,1.17,2.0,11.95,0.62
2665,13.05,2.6,26.01,0.31
2666,12.68,3.2,84.31,0.4
2667,15.96,2.2,63.84,0.17
2668,4.48,3.2,38.71,0.66
2669,6.03,3.2,27.13,0.61
2670,7.05,4.2,68.41,0.7
2671,7.79,2.6,29.35,0.48
2672,14.84,4.5,70.59,0.49
2673,3.64,1.1,93.1,0.43
2674,6.65,3.0,90.69,0.57
2675,13.91,2.6,64.1,0.28
2676,4.56,4.4,44.02,0.81
2677,13.51,4.9,3.8,0.58
2678,10.43,3.4,72.81,0.5
2679,5.19,1.2,31.8,0.39
2680,1.47,1.1,37.26,0.5
2681,3.63,1.8,2.54,0.52
2682,15.66,2.0,16.78,0.15
2683,13.84,1.3,61.24,0.12
2684,8.4,3.0,92.91,0.51
2685,3.76,3.4,71.89,0.71
2686,4.95,1.3,40.97,0.41
2687,14.72,2.1,12.95,0.19
2688,5.16,3.2,87.55,0.64
2689,8.81,4.5,87.36,0.69
2690,10.42,4.3,53.68,0.61
2691,13.37,2.4,43.14,0.28
2692,16.22,3.0,70.71,0.26
2693,10.24,4.1,82.17,0.59
2694,8.12,4.7,9.33,0.73
2695,4.39,3.7,86.84,0.73
2696,15.94,3.2,18.43,0.29
2697,16.2,4.0,82.81,0.38
2698,7.61,2.2,61.27,0.44
2699,15.91,4.9,24.63,0.51
2700,12.0,4.3,28.76,0.56
2701,8.67,2.1,70.05,0.39
2702,9.78,4.0,4.98,0.59
2703,10.39,1.1,73.31,0.21
2704,11.02,3.9,70.91,0.54
2705,4.86,1.5,28.18,0.44
2706,14.84,3.1,97.76,0.32
2707,2.63,1.9,88.87,0.56
2708,9.79,1.6,67.55,0.29
2709,10.9,4.2,64.19,0.58
2710,14.07,4.2,67.24,0.48
2711,8.97,1.9,10.1,0.36
2712,11.0,3.1,59.14,0.44
2713,1.53,4.5,39.4,0.92
2714,6.92,4.3,64.37,0.72
2715,6.33,4.6,52.65,0.78
2716,1.47,3.2,12.32,0.76
2717,15.79,3.2,88.61,0.3
2718,4.39,3.7,99.72,0.73
2719,8.49,4.0,78.64,0.63
2720,11.83,2.1,6.14,0.29
2721,4.07,4.7,1.69,0.86
2722,4.77,4.2,68.25,0.78
2723,16.31,2.6,28.48,0.21
2724,1.33,2.9,74.43,0.73
2725,5.83,2.0,91.51,0.47
2726,7.3,4.4,52.81,0.72
2727,3.75,4.5,2.14,0.85
2728,12.12,1.9,51.87,0.25
2729,14.46,2.9,77.08,0.3
2730,13.14,4.0,36.36,0.48
2731,15.53,1.5,69.17,0.09
2732,1.59,1.9,76.5,0.59
2733,16.4,1.2,42.89,0.03
2734,6.4,1.0,18.86,0.33
2735,1.62,1.5,99.46,0.54
2736,6.69,2.8,62.5,0.54
2737,15.03,2.9,60.28,0.28
2738,3.68,2.6,13.46,0.61
2739,8.11,4.7,20.2,0.73
2740,1.76,4.4,19.25,0.9
2741,1.7,1.2,2.49,0.5
2742,2.4,3.8,90.45,0.8
2743,11.63,1.8,1.63,0.26
2744,7.59,4.0,91.49,0.66
2745,2.83,2.2,56.07,0.59
2746,5.76,4.1,41.78,0.73
2747,7.09,2.7,71.26,0.52
2748,9.88,2.7,28.74,0.43
2749,15.98,3.9,25.37,0.38
2750,5.57,1.7,66.16,0.44
2751,11.31,3.6,54.28,0.49
2752,13.35,4.3,85.11,0.51
2753,10.5,2.4,41.77,0.37
2754,15.5,1.9,89.07,0.14
2755,8.34,2.5,76.93,0.45
2756,9.77,4.4,74.47,0.64
2757,10.29,2.7,23.08,0.41
2758,15.76,1.4,99.53,0.07
2759,10.94,1.3,2.54,0.22
2760,15.96,1.4,18.46,0.07
2761,2.5,2.9,89.1,0.69
2762,15.44,4.3,12.8,0.45
2763,11.3,3.4,58.49,0.47
2764,11.2,2.4,32.75,0.35
2765,2.31,4.6,70.9,0.91
2766,2.58,3.9,39.43,0.81
2767,15.04,2.9,46.52,0.28
2768,4.44,1.3,36.75,0.43
2769,1.45,2.3,71.09,0.65
2770,10.45,3.2,6.07,0.47
2771,4.78,1.6,25.39,0.45
2772,6.56,4.2,34.46,0.72
2773,12.83,2.8,34.47,0.34
2774,8.34,3.3,30.98,0.55
2775,9.48,2.9,72.03,0.46
2776,11.07,1.3,21.68,0.21
2777,2.38,3.6,26.34,0.78
2778,4.21,4.0,33.89,0.77
2779,11.66,4.3,42.8,0.57
2780,12.09,1.8,34.84,0.24
2781,11.59,3.6,50.36,0.48
2782,7.44,3.5,86.23,0.6
2783,6.45,3.1,91.8,0.59
2784,16.02,2.8,35.27,0.24
2785,4.22,4.4,42.16,0.82
2786,5.9,1.4,56.43,0.39
2787,6.42,3.6,63.39,0.65
2788,11.73,1.2,27.88,0.18
2789,15.96,4.6,19.69,0.47
2790,1.2,4.0,47.69,0.87
2791,9.97,4.7,33.55,0.67
2792,8.1,2.7,76.18,0.48
2793,6.27,3.4,36.64,0.63
2794,12.04,4.0,59.35,0.52
2795,8.42,4.3,58.62,0.67
2796,11.69,3.0,11.33,0.41
2797,14.58,2.3,60.95,0.22
2798,4.67,4.1,87.18,0.77
2799,14.75,3.5,28.61,0.37
2800,9.58,1.7,76.78,0.31
2801,13.59,4.8,64.12,0.57
2802,2.89,1.9,6.81,0.55
2803,13.08,2.0,20.31,0.24
2804,4.44,2.2,29.68,0.54
2805,2.01,1.1,0.82,0.48
2806,15.18,3.7,14.78,0.38
2807,6.7,2.2,32.5,0.47
2808,1.32,2.3,65.51,0.65
2809,6.67,2.9,40.49,0.55
2810,14.59,2.5,90.83,0.25
2811,2.48,1.3,70.73,0.49
2812,3.16,4.0,46.34,0.81
2813,4.12,2.6,14.92,0.6
2814,8.97,1.1,97.08,0.26
2815,2.75,3.4,83.58,0.74
2816,13.39,3.9,33.28,0.46
2817,15.74,4.7,59.95,0.49
2818,10.26,3.9,84.2,0.56
2819,16.17,4.3,73.56,0.42
2820,1.59,2.6,60.61,0.68
2821,5.57,2.6,90.74,0.55
2822,16.41,4.9,30.96,0.49
2823,9.0,3.7,44.45,0.58
2824,3.76,2.8,8.3,0.64
2825,9.68,1.0,56.23,0.22
2826,10.02,2.3,50.21,0.37
2827,3.13,4.7,98.8,0.89
2828,14.47,4.9,41.82,0.55
2829,4.8,3.2,60.96,0.65
2830,12.62,4.9,76.83,0.61
2831,7.91,1.8,26.85,0.38
2832,12.93,2.5,49.66,0.3
2833,13.56,1.7,19.98,0.18
2834,7.03,2.2,39.83,0.46
2835,11.72,1.7,16.07,0.24
2836,3.46,1.1,56.6,0.43
2837,12.75,2.6,15.92,0.32
2838,5.01,3.4,86.06,0.67
2839,9.21,3.5,45.78,0.55
2840,12.55,4.6,23.99,0.58
2841,7.6,2.4,29.57,0.46
2842,6.68,2.8,89.82,0.54
2843,5.0,2.3,26.57,0.53
2844,9.19,3.7,25.03,0.57
2845,13.51,3.2,4.25,0.37
2846,12.89,2.4,57.57,0.29
2847,7.14,3.0,96.29,0.55
2848,3.42,3.0,20.95,0.67
2849,3.44,2.6,15.78,0.62
2850,12.56,2.6,43.53,0.33
2851,15.38,1.6,94.57,0.11
2852,1.98,1.7,95.04,0.56
2853,13.43,2.5,96.03,0.29
2854,6.89,3.3,97.13,0.6
2855,13.31,3.8,33.03,0.45
2856,13.02,2.3,27.14,0.27
2857,14.97,2.0,62.01,0.17
2858,11.26,2.4,54.08,0.34
2859,6.18,4.0,0.32,0.71
2860,2.38,2.5,7.83,0.64
2861,11.1,2.1,27.61,0.31
2862,8.45,1.6,21.06,0.33
2863,10.5,3.1,59.19,0.46
2864,11.85,2.8,12.73,0.38
2865,7.25,5.0,90.39,0.8
2866,2.97,4.9,28.92,0.92
2867,3.16,3.3,56.15,0.72
2868,12.0,2.6,27.6,0.35
2869,14.6,4.5,26.76,0.5
2870,12.03,2.8,11.1,0.37
2871,6.32,2.2,64.76,0.48
2872,5.15,2.5,7.85,0.55
2873,16.44,2.0,49.92,0.13
2874,7.4,1.7,55.79,0.38
2875,6.53,3.9,90.58,0.68
2876,8.38,2.9,27.44,0.5
2877,13.11,1.7,10.53,0.2
2878,5.17,3.9,52.85,0.73
2879,11.67,3.9,70.24,0.52
2880,5.81,3.6,4.91,0.67
2881,12.9,4.2,89.79,0.52
2882,5.4,2.1,99.43,0.5
2883,1.01,4.4,82.97,0.92
2884,5.2,4.1,13.16,0.75
2885,3.07,3.5,95.86,0.75
2886,15.27,1.4,92.87,0.09
2887,8.72,2.4,9.14,0.43
2888,2.53,3.4,48.44,0.75
2889,10.99,2.9,17.36,0.42
2890,8.02,4.3,6.72,0.69
2891,15.19,1.8,52.86,0.14
2892,15.4,4.0,30.62,0.41
2893,3.32,2.8,30.1,0.65
2894,13.05,1.2,77.96,0.14
2895,10.07,1.2,77.93,0.23
2896,5.31,3.5,94.82,0.67
2897,9.19,3.3,33.02,0.52
2898,3.63,1.9,69.72,0.53
2899,1.31,1.4,37.56,0.54
2900,3.73,1.8,26.22,0.51
2901,7.22,3.0,54.37,0.55
2902,10.43,3.5,39.29,0.51
2903,4.78,1.1,18.77,0.39
2904,2.84,2.2,54.02,0.59
2905,12.62,1.1,88.18,0.14
2906,2.52,1.1,36.78,0.46
2907,7.45,3.3,35.63,0.58
2908,9.63,2.5,13.55,0.41
2909,7.36,4.3,67.96,0.71
2910,5.58,4.1,95.74,0.74
2911,12.96,2.4,59.28,0.29
2912,10.56,2.9,51.33,0.43
